nmcf 	 nmf 	 nme 	 rec 	 bac0 	 bac1 	 bac2 \ pla
FI-BAC5 	 Formation d'ingénieur Bac + 5 - Bac S 	 ESIREM Dijon (21) 	 dijon cote or bourgogne franche comte concours geipi polytech  	 100 	 0 	0 	81 	
FI-BAC5 	 Formation d'ingénieur Bac + 5 - Bac S 	 EPF Troyes (Rosières-près-Troyes - 10) 	 epf rosieres pres troyes aube reims grand est concours avenir  	 100 	 0 	0 	80 	
L1-Lettres 	 Licence - Lettres - Lettres Modernes 	 Université de Versailles - Saint Quentin en Yvelines (Guyancourt - 78) 	 uvsq guyancourt yvelines versailles ile france idf universite saint quentin  	 91 	 6 	3 	68 	
L1-LLCER 	 Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Espagnol 	 Université de Versailles - Saint Quentin en Yvelines (Guyancourt - 78) 	 uvsq guyancourt yvelines versailles ile france idf universite saint quentin  	 68 	 23 	10 	82 	
L1-LLCER 	 Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais 	 Université de Versailles - Saint Quentin en Yvelines (Guyancourt - 78) 	 uvsq guyancourt yvelines versailles ile france idf universite saint quentin  	 72 	 22 	5 	144 	
L1-AES 	 Licence - Administration économique et sociale 	 Ecole Universitaire de premier cycle - Campus de Guyancourt Université de Paris-Saclay (78) 	 eu1cups paris sud guyancourt yvelines versailles ile france idf ecole universitaire premier cycle campus universite saclay  	 69 	 23 	8 	186 	
L1-Sociologie 	 Licence - Sociologie 	 Ecole Universitaire de premier cycle - Campus de Guyancourt Université de Paris-Saclay (78) 	 eu1cups paris sud guyancourt yvelines versailles ile france idf ecole universitaire premier cycle campus universite saclay  	 59 	 32 	8 	115 	
L1-GA 	 Licence - Géographie et aménagement - Géographie 	 Université de Versailles - Saint Quentin en Yvelines (Guyancourt - 78) 	 uvsq guyancourt yvelines versailles ile france idf universite saint quentin  	 62 	 22 	16 	58 	
L1-Histoire 	 Licence - Histoire 	 Université de Versailles - Saint Quentin en Yvelines (Guyancourt - 78) 	 uvsq guyancourt yvelines versailles ile france idf universite saint quentin  	 59 	 24 	15 	158 	
BTS-MCO/App 	 BTS - Services - Management Commercial Opérationnel - en apprentissage 	 CFA AFIPE - VENTE COMMERCE (Poissy - 78) 	 poissy yvelines versailles ile france idf cfa afipe vente commerce  	 19 	 38 	44 	60 	
DUT-GIM 	 DUT - Génie industriel et maintenance 	 I.U.T. de Mantes en Yvelines (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf i u t  	 49 	 51 	0 	48 	
DUT-GMP 	 DUT - Génie mécanique et productique 	 I.U.T. de Mantes en Yvelines (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf i u t  	 69 	 31 	0 	52 	
DUT-GEA 	 DUT - Gestion des entreprises et des administrations 	 I.U.T. de Mantes en Yvelines (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf i u t  	 52 	 48 	0 	56 	
DUT-TC 	 DUT - Techniques de commercialisation 	 I.U.T. de Mantes en Yvelines (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf i u t  	 63 	 38 	0 	50 	
DUT-GC-GP 	 DUT - Génie chimique génie des procédés 	 I.U.T de Velizy - Antenne de Rambouillet (78) 	 rambouillet yvelines versailles ile france idf i u velizy antenne  	 83 	 17 	0 	28 	
DUT-TC 	 DUT - Techniques de commercialisation 	 I.U.T de Velizy - Antenne de Rambouillet (78) 	 rambouillet yvelines versailles ile france idf i u velizy antenne  	 53 	 47 	0 	84 	
DUT-GACO 	 DUT - Gestion administrative et commerciale des organisations 	 I.U.T de Velizy - Antenne de Rambouillet (78) 	 rambouillet yvelines versailles ile france idf i u velizy antenne  	 49 	 51 	0 	56 	
DUT-TC/App 	 DUT - Techniques de commercialisation - en apprentissage 	 I.U.T de Velizy - Antenne de Rambouillet (78) 	 rambouillet yvelines versailles ile france idf i u velizy antenne  	 61 	 39 	0 	28 	
DUT-GACO/App 	 DUT - Gestion administrative et commerciale des organisations - en apprentissage 	 I.U.T de Velizy - Antenne de Rambouillet (78) 	 rambouillet yvelines versailles ile france idf i u velizy antenne  	 77 	 23 	0 	28 	
CPGE-MPSI 	 CPGE - MPSI 	 Lycée Jeanne D'Albret (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jeanne albret  	 100 	 0 	0 	48 	
CPGE-PCSI 	 CPGE - PCSI 	 Lycée Jeanne D'Albret (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jeanne albret  	 100 	 0 	0 	48 	
CPGE-ECS 	 CPGE - ECS - Option scientifique 	 Lycée Jeanne D'Albret (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jeanne albret  	 100 	 0 	0 	48 	
CPGE-AL 	 CPGE - Lettres 	 Lycée Jeanne D'Albret (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jeanne albret  	 100 	 0 	0 	48 	
CPGE-MPSI 	 CPGE - MPSI 	 Lycée Saint Exupéry (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee saint exupery  	 95 	 5 	0 	35 	
CPGE-ECE 	 CPGE - ECE - Option économique 	 Lycée Saint Exupéry (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee saint exupery  	 100 	 0 	0 	35 	
CPGE-AL 	 CPGE - Lettres 	 Lycée Saint Exupéry (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee saint exupery  	 100 	 0 	0 	35 	
BTS-SAM 	 BTS - Services - Support à l'action managériale 	 Lycée Saint Exupéry (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee saint exupery  	 6 	 45 	48 	32 	
BTS-CG 	 BTS - Services - Comptabilité et gestion 	 Lycée Saint Exupéry (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee saint exupery  	 6 	 45 	48 	32 	
BTS-Electrotec 	 BTS - Production - Electrotechnique 	 Lycée Jean Rostand (Mantes-la-Jolie - 78) 	 mantes jolie yvelines versailles ile france idf lycee jean rostand  	 3 	 27 	70 	22 	
BTS-MCO 	 BTS - Services - Management Commercial Opérationnel 	 Lycée Le Corbusier (Poissy - 78) 	 poissy yvelines versailles ile france idf lycee corbusier  	 8 	 47 	44 	35 	
BTS-Electrotec 	 BTS - Production - Electrotechnique 	 Lycée Louis Bascan (Rambouillet - 78) 	 rambouillet yvelines versailles ile france idf lycee louis bascan  	 5 	 37 	58 	24 	
BTS-MCO 	 BTS - Services - Management Commercial Opérationnel 	 Lycée Louis Bascan (Rambouillet - 78) 	 rambouillet yvelines versailles ile france idf lycee louis bascan  	 12 	 44 	44 	35 	
BTS-CRSA 	 BTS - Production - Conception et Réalisation de Systèmes Automatiques (Seconde année possible en apprentissage) 	 Lycée Léonard de Vinci (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee leonard vinci  	 4 	 38 	58 	24 	
BTS-Electrotec 	 BTS - Production - Electrotechnique 	 Lycée Léonard de Vinci (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee leonard vinci  	 0 	 39 	61 	24 	
BTS-SAM 	 BTS - Services - Support à l'action managériale 	 Lycée Jean-Baptiste Poquelin (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jean baptiste poquelin  	 6 	 50 	44 	35 	
BTS-SP3S 	 BTS - Services - Service et prestation des secteurs sanitaire et social 	 Lycée Jean-Baptiste Poquelin (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jean baptiste poquelin  	 10 	 40 	50 	35 	
BTS-CIRE 	 BTS - Services - Commerce international à référentiel européen 	 Lycée Jean-Baptiste Poquelin (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jean baptiste poquelin  	 11 	 64 	25 	35 	
BTS-CG 	 BTS - Services - Comptabilité et gestion 	 Lycée Jean-Baptiste Poquelin (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jean baptiste poquelin  	 11 	 44 	44 	35 	
DCG-DPECF 	 Diplôme de Comptabilité et de Gestion 	 Lycée Jean-Baptiste Poquelin (Saint-Germain-en-Laye - 78) 	 saint germain laye yvelines versailles ile france idf lycee jean baptiste poquelin  	 82 	 18 	0 	40 	
CPGE-MPSI 	 CPGE - MPSI 	 Lycée Hoche (Versailles - 78) 	 versailles yvelines ile france idf lycee hoche  	 100 	 0 	0 	96 	
CPGE-PCSI 	 CPGE - PCSI 	 Lycée Hoche (Versailles - 78) 	 versailles yvelines ile france idf lycee hoche  	 100 	 0 	0 	96 	
CPGE-BCPST 	 CPGE - BCPST 	 Lycée Hoche (Versailles - 78) 	 versailles yvelines ile france idf lycee hoche  	 100 	 0 	0 	96 	
CPGE-ECS 	 CPGE - ECS - Option scientifique 	 Lycée Hoche (Versailles - 78) 	 versailles yvelines ile france idf lycee hoche  	 100 	 0 	0 	48 	
CPGE-ECE 	 CPGE - ECE - Option économique 	 Lycée Hoche (Versailles - 78) 	 versailles yvelines ile france idf lycee hoche  	 100 	 0 	0 	48 	
